latitude,longitude,datetime,value
24.558343,118.139000,01-Sep-2016 09:00:00,0.682841
24.558343,118.139000,17-Sep-2016 15:00:00,0.539629
24.558343,118.139000,23-Sep-2016 16:00:00,5.336231
24.558343,118.139000,23-Sep-2016 19:30:00,0.268808
24.558343,118.139984,05-Sep-2016 10:00:00,18.462465
24.558343,118.139984,16-Sep-2016 11:30:00,1.529516
24.558343,118.139984,17-Sep-2016 15:30:00,0.147416
24.558343,118.139984,20-Sep-2016 08:30:00,1.346174
24.558343,118.139984,21-Sep-2016 08:30:00,4.302601
24.558343,118.139984,23-Sep-2016 19:30:00,28.274322
24.558343,118.139984,25-Sep-2016 18:00:00,7.524318
24.558343,118.139984,30-Sep-2016 10:00:00,4.874904
24.557446,118.140967,16-Sep-2016 11:00:00,1.365797
24.557446,118.140967,23-Sep-2016 15:30:00,11.939274
24.553855,118.144901,01-Sep-2016 22:30:00,4.621144
24.552958,118.144901,01-Sep-2016 22:30:00,9.047841
24.552958,118.144901,01-Sep-2016 23:00:00,0.120531
24.552060,118.145885,01-Sep-2016 22:30:00,7.356910
24.552060,118.145885,21-Sep-2016 19:30:00,2.796438
24.552060,118.145885,26-Sep-2016 10:00:00,7.513532
24.552060,118.145885,26-Sep-2016 10:30:00,0.620048
24.552060,118.145885,27-Sep-2016 20:00:00,2.801341
24.552060,118.145885,30-Sep-2016 10:00:00,18.768926
24.552060,118.145885,30-Sep-2016 19:30:00,2.255241
24.551162,118.103593,26-Sep-2016 09:00:00,5.233576
24.551162,118.145885,01-Sep-2016 22:30:00,1.805994
24.551162,118.145885,21-Sep-2016 19:30:00,6.336928
24.551162,118.145885,27-Sep-2016 20:00:00,2.909948
24.551162,118.145885,30-Sep-2016 10:00:00,5.046855
24.551162,118.145885,30-Sep-2016 10:30:00,0.476769
24.550265,118.108510,04-Sep-2016 22:00:00,11.488225
24.550265,118.108510,04-Sep-2016 22:30:00,12.961863
24.549367,118.104576,26-Sep-2016 09:00:00,0.234739
24.549367,118.108510,04-Sep-2016 22:00:00,9.124208
24.549367,118.108510,04-Sep-2016 22:30:00,2.953889
24.548469,118.113428,10-Sep-2016 22:00:00,0.288488
